jichang,shijian,xuhao,lichangliuliang
ZBAA,5,38,6
ZBAA,5,39,6
ZBAA,5,40,7
ZBAA,5,41,5
ZBAA,5,42,7
ZBAA,5,43,5
ZBAA,5,44,7
ZBAA,5,45,7
ZBAA,5,46,7
ZBAA,5,47,6
ZBAA,5,48,11
ZBAA,5,49,8
ZBAA,5,50,7
ZBAA,6,1,6
ZBAA,6,2,6
ZBAA,6,3,7
ZBAA,6,4,7
ZBAA,6,5,6
ZBAA,6,6,8
ZBAA,6,7,11
ZBAA,6,8,9
ZBAA,6,9,7
ZBAA,6,11,10
ZBAA,6,12,8
ZBAA,6,13,6
ZBAA,6,14,7
ZBAA,6,15,6
ZBAA,6,16,5
ZBAA,6,17,7
ZBAA,6,18,10
ZBAA,6,19,8
ZBAA,6,20,7
ZBAA,6,21,7
ZBAA,6,22,11
ZBAA,6,24,5
ZBAA,6,25,7
ZBAA,6,26,8
ZBAA,6,27,7
ZBAA,6,28,6
ZBAA,6,29,9
ZBAA,6,30,10
ZBAA,6,31,8
ZBAA,6,32,7
ZBAA,6,33,6
ZBAA,6,34,12
ZBAA,6,35,7
ZBAA,6,36,5
ZBAA,6,37,9
ZBAA,6,38,5
ZBAA,6,39,7
ZBAA,6,40,7
ZBAA,6,41,12
ZBAA,6,42,6
ZBAA,6,43,8
ZBAA,6,44,6
ZBAA,6,45,5
ZBAA,6,46,8
ZBAA,6,47,7
ZBAA,6,48,5
ZBAA,6,49,7
ZBAA,6,50,6
ZBAA,7,1,9
ZBAA,7,2,6
ZBAA,7,3,5
ZBAA,7,4,6
ZBAA,7,5,9
ZBAA,7,6,6
ZBAA,7,7,5
ZBAA,7,8,7
ZBAA,7,9,8
ZBAA,7,10,6
ZBAA,7,11,7
ZBAA,7,12,8
ZBAA,7,13,7
ZBAA,7,14,6
ZBAA,7,15,7
ZBAA,7,16,7
ZBAA,7,17,5
ZBAA,7,18,13
ZBAA,7,19,9
ZBAA,7,20,7
ZBAA,7,21,8
ZBAA,7,22,9
ZBAA,7,23,7
ZBAA,7,24,5
ZBAA,7,25,8
ZBAA,7,26,5
ZBAA,7,27,6
ZBAA,7,28,7
ZBAA,7,29,8
ZBAA,7,30,9
ZBAA,7,31,6
ZBAA,7,32,10
ZBAA,7,33,7
ZBAA,7,34,5
ZBAA,7,35,6
ZBAA,7,36,5
ZBAA,7,38,5
ZBAA,7,39,7
ZBAA,7,40,9
ZBAA,7,41,8
ZBAA,7,42,6
ZBAA,7,43,7
ZBAA,7,44,6
ZBAA,7,45,10
ZBAA,7,46,7
ZBAA,7,47,6
ZBAA,7,48,10
ZBAA,7,49,6
ZBAA,7,50,12
ZBAA,8,1,8
ZBAA,8,2,7
ZBAA,8,3,5
ZBAA,8,4,9
ZBAA,8,6,11
ZBAA,8,7,10
ZBAA,8,8,8
ZBAA,8,9,7
ZBAA,8,10,6
ZBAA,8,11,8
ZBAA,8,12,10
ZBAA,8,13,8
ZBAA,8,14,9
ZBAA,8,15,11
ZBAA,8,16,5
ZBAA,8,17,8
ZBAA,8,18,6
ZBAA,8,19,8
ZBAA,8,20,6
ZBAA,8,21,7
ZBAA,8,22,6
ZBAA,8,23,7
ZBAA,8,24,6
ZBAA,8,26,5
ZBAA,8,27,7
ZBAA,8,28,10
ZBAA,8,29,6
ZBAA,8,30,7
ZBAA,8,31,6
ZBAA,8,32,7
ZBAA,8,33,10
ZBAA,8,34,7
ZBAA,8,35,6
ZBAA,8,36,6
ZBAA,8,37,6
ZBAA,8,38,7
ZBAA,8,39,8
ZBAA,8,40,7
ZBAA,8,41,5
ZBAA,8,42,11
ZBAA,8,43,9
ZBAA,8,44,12
ZBAA,8,45,8
ZBAA,8,46,6
ZBAA,8,47,8
ZBAA,8,48,7
ZBAA,8,49,6
ZBAA,8,50,10
ZBAA,9,1,11
ZBAA,9,2,6
ZBAA,9,3,7
ZBAA,9,4,9
ZBAA,9,5,8
ZBAA,9,6,8
ZBAA,9,8,7
ZBAA,9,10,6
ZBAA,9,11,7
ZBAA,9,12,8
ZBAA,9,13,8
ZBAA,9,14,6
ZBAA,9,15,6
ZBAA,9,16,7
ZBAA,9,17,10
ZBAA,9,18,7
ZBAA,9,19,5
ZBAA,9,20,7
ZBAA,9,21,8
ZBAA,9,22,9
ZBAA,9,23,7
ZBAA,9,24,7
ZBAA,9,25,8
ZBAA,9,26,7
ZBAA,9,27,9
ZBAA,9,28,7
ZBAA,9,29,10
ZBAA,9,30,10
ZBAA,9,31,6
ZBAA,9,32,8
ZBAA,9,33,5
ZBAA,9,34,8
ZBAA,9,35,9
ZBAA,9,36,8
ZBAA,9,37,13
ZBAA,9,38,8
ZBAA,9,39,9
ZBAA,9,40,10
ZBAA,9,41,9
ZBAA,9,42,9
ZBAA,9,43,6
ZBAA,9,44,9
ZBAA,9,45,6
ZBAA,9,46,7
ZBAA,9,47,9
ZBAA,9,48,7
ZBAA,9,49,8
ZBAA,9,50,5
ZBAA,10,1,8
ZBAA,10,2,9
ZBAA,10,3,9
ZBAA,10,4,11
ZBAA,10,5,10
ZBAA,10,6,8
ZBAA,10,8,8
ZBAA,10,9,10
ZBAA,10,10,6
ZBAA,10,11,5
ZBAA,10,12,6
ZBAA,10,13,8
ZBAA,10,14,9
ZBAA,10,15,7
ZBAA,10,16,6
ZBAA,10,17,9
ZBAA,10,18,5
ZBAA,10,19,6
