,jichang,shike,quedingxingrongliang,quedingxingronglianggailv,buquedingxingrongliang,buquedingxingronglianggailv,leijiagailv,1,2,3,4,5,6,7,8,9,10
47,ZBAA,39,17,1,12,0.12,0.52,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
48,ZBAA,39,17,1,13,0.12,0.4,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
49,ZBAA,39,17,1,14,0.06,0.28,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
50,ZBAA,39,17,1,15,0.02,0.21999999999999997,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
51,ZBAA,39,17,1,16,0.04,0.19999999999999998,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
52,ZBAA,39,17,1,17,0.06,0.15999999999999998,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
53,ZBAA,39,17,1,18,0.02,0.1,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
54,ZBAA,39,17,1,19,0.04,0.08,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
55,ZBAA,39,17,1,20,0.02,0.04,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
56,ZBAA,39,17,1,21,0.02,0.02,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
57,ZBAA,40,16,1,7,0.02,1.0,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
58,ZBAA,40,16,1,8,0.04,0.98,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
59,ZBAA,40,16,1,9,0.04,0.94,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
60,ZBAA,40,16,1,10,0.16,0.8999999999999999,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
61,ZBAA,40,16,1,11,0.04,0.74,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
62,ZBAA,40,16,1,12,0.18,0.7000000000000001,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
63,ZBAA,40,16,1,13,0.22,0.5200000000000001,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
64,ZBAA,40,16,1,14,0.06,0.30000000000000004,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
65,ZBAA,40,16,1,15,0.08,0.23999999999999996,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
66,ZBAA,40,16,1,16,0.08,0.16,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
67,ZBAA,40,16,1,17,0.02,0.08,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
68,ZBAA,40,16,1,18,0.02,0.06,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
69,ZBAA,40,16,1,19,0.02,0.04,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
70,ZBAA,40,16,1,20,0.02,0.02,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
71,ZBAA,41,14,1,5,0.02,1.0,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
72,ZBAA,41,14,1,6,0.02,0.98,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
73,ZBAA,41,14,1,7,0.08,0.96,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
74,ZBAA,41,14,1,8,0.02,0.8799999999999999,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
75,ZBAA,41,14,1,9,0.16,0.8599999999999999,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
76,ZBAA,41,14,1,10,0.18,0.7,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
77,ZBAA,41,14,1,11,0.1,0.52,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
78,ZBAA,41,14,1,12,0.14,0.42000000000000004,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
79,ZBAA,41,14,1,13,0.1,0.28,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
80,ZBAA,41,14,1,14,0.1,0.18,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
81,ZBAA,41,14,1,15,0.02,0.08,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
82,ZBAA,41,14,1,16,0.06,0.06,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
